test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
8;5;12,5;10;59,25;49,5;54,25;0;1;0;1;0;0;0;0;1;0;9,75;30,5;14;1;0;1;0;0;0;0;4;1;0;3;5;4;6;12.000 forint
11;7;14;12;83,75;72;76,75;0;0;1;1;0;0;0;0;1;0;11,75;37;28;1;0;1;0;0;0;0;4;1;0;3;5;7;10;15.000 forint
8.5;12;11;10,5;74,25;63,5;65,75;0;1;0;1;0;0;0;0;1;0;10,75;33,5;21,5;1;0;1;0;0;0;0;4;1;0;4;5;6;5;11.000 forint
9;14,5;13;14;94,5;82,5;85,5;0;1;1;1;0;0;0;0;1;0;12;41,5;32;0;0;1;0;0;0;0;4;0;0;3;5;7;8;12.000 forint
2;5;0;0;56,5;47;56,5;0;0;1;1;0;0;0;0;1;0;9,5;7;40;0;0;1;0;0;0;0;4;0;0;5;5;6;6;12.000 forint
15;9,5;16;14;97;85,5;87,5;0;0;0;1;0;0;0;0;1;0;11,5;45;31;1;0;1;0;0;0;0;4;1;0;4;5;7;7;11.000 forint
9;4;11,5;9,5;42,25;34;38,25;0;1;1;1;0;0;0;0;1;0;8,25;30;0;0;0;1;0;0;0;0;4;0;0;2;4;8;9;15.000 forint
6;7;16;11;82,58;72,5;76,58;0;0;1;1;0;0;0;0;1;0;10,08;34;32,5;0;0;1;0;0;0;0;4;0;0;4;5;5;8;15.000 forint
5.5;9;11;15,5;89,25;79,5;83,75;0;0;1;1;0;0;0;0;1;0;9,75;35,5;38,5;1;0;1;0;0;0;0;4;1;0;2;5;6;3;15.000 forint
7;15;13;11;95,5;86;88,5;0;1;0;1;0;0;0;0;1;0;9,5;39;40;1;0;1;0;0;0;0;4;1;0;4;5;7;5;15.000 forint
8;6;6;3;57,67;47,5;54,67;0;1;1;1;0;0;0;0;1;0;10,17;20;24,5;1;0;1;0;0;0;0;4;1;0;2;3;7;5;12.000 forint
