test1;test2;test3;test4;final_test;semester_tests;total_score;total_score_without_hw;final_score;d_szfvar;d_nowork;d_okt;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_hybrid;treatment_loss;treatment_gain;homework_total;d_no;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;female_loss;female_hybrid;Group;loss_final;loss_semester;Group_cat
10,0;10,0;8,0;14,0;20,5;34,0;73,25;62,5;65,25;1;0;7;0;1;0;0;0;1;0;0;1;10,75;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
4,0;0,0;0,0;0,0;0,0;4,0;8,00;4,0;8,00;1;0;7;0;0;0;0;0;1;0;0;1;4,00;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
7,5;9,0;0,0;0,0;0,0;16,5;25,75;16,5;25,75;1;0;7;1;1;0;0;0;1;0;0;1;9,25;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
12,0;6,5;15,0;14,0;24,5;41,0;83,25;72,0;76,75;1;0;7;0;0;0;0;0;1;0;0;1;11,25;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
6,0;5,0;7,0;10,0;19,0;23,0;58,50;47,0;53,50;1;0;7;0;1;0;0;0;1;0;0;1;11,50;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
4,0;0,0;0,0;0,0;0,0;4,0;6,75;4,0;6,75;1;1;7;1;0;0;0;0;1;0;0;1;2,75;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
4,0;0,0;4,5;5,0;0,0;13,5;23,25;13,5;23,25;1;1;7;1;0;0;0;0;1;0;0;1;9,75;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
9,0;9,5;8,0;0,0;26,5;26,5;63,50;53,0;63,50;1;1;7;0;0;0;0;0;1;0;0;1;10,50;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
10,0;7,0;11,5;11,0;26,0;32,5;76,25;65,5;69,25;1;0;7;0;0;0;0;0;1;0;0;1;10,75;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
3,0;3,0;5,0;9,5;18,5;17,5;48,00;39,0;45,00;1;0;7;0;1;0;0;0;1;0;0;1;9,00;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
10,0;10,0;15,0;14,5;26,5;39,5;87,25;76,0;77,25;1;0;7;0;0;0;0;0;1;0;0;1;11,25;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
11,0;6,0;15,0;14,0;28,0;40,0;85,25;74,0;79,25;1;1;7;0;0;0;0;0;1;0;0;1;11,25;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
13,5;6,5;15,0;14,0;22,0;42,5;82,75;71,0;76,25;1;0;7;1;1;0;0;0;1;0;0;1;11,75;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
8,0;15,0;0,0;13,0;27,5;36,0;75,50;63,5;75,50;1;1;7;1;0;0;0;0;1;0;0;1;12,00;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
15,0;14,0;13,0;16,0;28,0;45,0;96,75;86,0;83,75;1;0;7;0;0;0;0;0;1;0;0;1;10,75;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
2,0;9,0;4,0;0,0;0,0;15,0;21,25;15,0;21,25;1;0;7;0;0;0;0;0;1;0;0;1;6,25;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
13,0;12,0;15,5;16,0;35,5;44,5;103,50;92,0;91,50;1;0;7;1;0;0;0;0;1;0;0;1;11,50;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
3,0;10,0;2,0;8,5;9,5;21,5;43,67;33,0;41,67;1;0;7;0;0;0;0;0;1;0;0;1;10,67;1;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
3,0;7,0;9,5;3,5;17,0;20,0;50,75;40,0;47,75;1;0;7;1;0;0;0;0;1;0;0;1;10,75;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
7,5;4,0;9,0;11,0;17,0;27,5;59,50;48,5;55,50;1;0;7;1;0;0;0;0;1;0;0;1;11,00;0;0;0;0;0;0;1;0;0;Székesfehérvár;0;0;15
