"","test1","test2","test3","test4","final_test","homework_total","total_score","final_score","semester_tests_total","gender","treatment_gain","treatment_loss","treatment_hybrid","semester_tests","d_female","d_mothereduc_uni","d_derivation","time_slot_thursday","time_slot_friday","Group","macro_interest","macro_grade_goal","risk_pref","comp_pref","time_pref","minutes_per_week","fairness_1_7","Comment","knew_other_groups"
"36",13,13,15,16,35.5,12,104.5,91.5,57,"Nő","1","0","0",44,"0","1","1",0,1,"G08",5,"5",4,4,"11.000 forint",120,"5",NA,0
"37",15,11.5,14,12,30.5,9.17,92.17,80.67,52.5,"Nő","0","1","0",41,"0","1","0",0,0,"G02",4,"4",4,7,"15.000 forint",4,"6","Mivel a ZH-k után csak annyit tudtam, hogy hány pontot vesztettem az adott ZH-n, elvesztettem a fonalat, azzal kapcsolatban, hogy összesen hány pontom van és mennyi lehetne. Ezen kívűl nem volt zavaró az újfajta pontozási rendszer (de különösebben motiválónak sem éreztem).",1
"38",8.5,9,11.5,14.5,23.5,12,79,70.5,43.5,"Férfi","0","1","0",35,"0","0","1",0,0,"G02",5,"5",8,7,"20.000 forint",80,"4",NA,1
"39",9.5,14.5,15,15.5,28,11.25,93.75,84.25,54.5,"Nő","0","1","0",45,"0","1","0",0,0,"G02",3,"4",7,4,"20.000 forint",180,"6",NA,1
"40",8.5,14,9,11,28,9.75,80.25,71.75,42.5,"Férfi","0","1","0",34,"0","1","1",0,0,"G02",4,"5",4,6,"12.000 forint",180,"5","Nem éreztem motiváltabbnak magamat attól hogy ""már megvolt"" az összes pontom az év elején. Inkább nehézség volt hogy fejben mindig át kellett számolnom hogy akkor ha x pontot vesztettem akkor hány pontot értem el egy teszten.",1
"41",16,13,15.5,16,33.5,11,105,92,60.5,"Férfi","0","1","0",47.5,"0","1","1",0,0,"G02",3,"5",8,10,"20.000 forint",120,"6",NA,1
"42",9,15,14,11,25,10.17,84.17,75.17,49,"Nő","0","1","0",40,"0","0","0",0,0,"G02",3,"5",8,8,"20.000 forint",5,"4",NA,1
"43",7,14,14.5,6,27.5,11.58,80.58,74.58,41.5,"Nő","0","1","0",35.5,"0","0","1",0,0,"G02",3,"5",7,7,"12.000 forint",120,"5",NA,1
"44",15,16,15,11,32.5,11.5,101,90,57,"Nő","0","0","1",46,"1","1","1",1,1,"G03",2,"5",5,7,"11.000 forint",60,"5",NA,1
"45",13.5,11,13.5,16,32.5,11,97.5,86.5,54,"Nő","0","0","1",43,"1","1","0",1,1,"G03",3,"5",4,6,"12.000 forint",90,"3",NA,1
"46",13.5,13,10,15,35.5,11.75,98.75,88.75,51.5,"Nő","0","0","1",41.5,"1","0","1",1,1,"G03",5,"5",6,6,"11.000 forint",150,"7",NA,1
"47",9.5,13.5,11.5,10,26.5,9,80,70.5,44.5,"Nő","0","0","1",35,"1","0","0",1,1,"G03",4,"5",2,0,"11.000 forint",180,"4",NA,1
"48",7,5.5,5,6.5,23.5,10.33,57.83,52.83,24,"Nő","0","0","1",19,"1","0","0",0,0,"G05",3,"4",7,8,"12.000 forint",25,"3",".",1
"49",11.5,8,5,6.5,33.5,11,75.5,70.5,31,"Férfi","0","0","1",26,"1","1","0",0,0,"G05",4,"5",8,9,"12.000 forint",30,"4",NA,1
"50",7.5,7,7.5,3,11.5,11.75,48.25,45.25,25,"Nő","0","0","1",22,"1","1","0",0,0,"G05",3,"4",7,4,"15.000 forint",30,"2",NA,1
"51",8.5,9,11,13.5,31,10.5,83.5,75,42,"Férfi","0","0","1",33.5,"1","1","1",0,0,"G05",3,"5",2,7,"11.000 forint",90,"2",NA,0
"52",3.5,5.5,4.5,0,40,11.5,65,65,13.5,"Nő","0","0","1",13.5,"1","1","0",0,0,"G05",3,"4",7,8,"20.000 forint",25,"2",NA,0
"53",11,13.5,10,11,32.5,11.75,89.75,79.75,45.5,"Nő","0","0","1",35.5,"1","0","0",0,0,"G05",5,"5",3,7,"12.000 forint",100,"5",NA,0
"54",5,3,8,10,23.5,11,60.5,57.5,26,"Nő","0","1","0",23,"0","1","0",0,1,"G12",4,"5",8,8,"15.000 forint",45,"5",NA,0
"55",13,10.5,13.5,8,29.5,10.25,84.75,76.75,45,"Nő","0","1","0",37,"0","0","1",0,1,"G12",5,"5",7,6,"11.000 forint",1,"5",NA,1
"56",11,12,12.5,8,25,10.75,79.25,71.25,43.5,"Férfi","0","1","0",35.5,"0","0","1",0,1,"G12",3,"5",4,3,"11.000 forint",90,"5","Körülményesebbé tette a pontszámok számítását a szubtraktív pontozás. Főleg azért is, mert a ponthatárok ígyis pozitív tartományban vannak megadva.",1
"57",10,10,15,7,34,10.75,86.75,79.75,42,"Férfi","0","1","0",35,"0","1","1",0,1,"G12",4,"4",7,4,"12.000 forint",60,"3",NA,1
"58",5.5,10.5,5.5,11,24,12,68.5,63,32.5,"Nő","0","1","0",27,"0","0","1",0,1,"G12",4,"5",7,8,"15.000 forint",70,"3",NA,1
"59",3,8.5,12,15,29.5,10.5,78.5,75.5,38.5,"Férfi","0","1","0",35.5,"0","1","1",0,1,"G12",5,"4",8,8,"12.000 forint",50,"6",NA,0
"60",9,13,15,15,34,11.75,97.75,88.75,52,"Nő","0","1","0",43,"0","1","1",0,1,"G12",4,"5",4,6,"15.000 forint",60,"4",NA,1
"61",14,15,9.5,16,34,11.75,100.25,90.75,54.5,"Nő","0","1","0",45,"0","1","1",0,1,"G12",4,"5",4,1,"11.000 forint",60,"6",NA,1
"62",7,15,14,16,37,11.5,100.5,93.5,52,"Férfi","0","1","0",45,"0","0","1",0,1,"G12",4,"5",6,7,"15.000 forint",40,"5",NA,0
"63",8,9,13,13,32.5,11.25,86.75,78.75,43,"Nő","0","1","0",35,"0","1","1",0,1,"G12",5,"5",7,6,"11.000 forint",180,"4",NA,1
"64",15,14,14,10,34,11,98,88,53,"Nő","0","0","1",43,"1","0","0",0,1,"G13",4,"5",3,8,"15.000 forint",120,"7",NA,1
"65",4.5,15,15,14.5,34,11.5,94.5,90,49,"Nő","0","0","1",44.5,"1","1","1",0,1,"G13",4,"5",5,6,"12.000 forint",30,"4",NA,1
"66",12,1.5,13,16,31,12,85.5,84,42.5,"Nő","0","0","1",41,"1","1","1",0,1,"G13",3,"5",5,8,"20.000 forint",50,"6",NA,0
"67",14,14.5,14,15,35.5,11.5,104.5,90.5,57.5,"Nő","0","0","1",43.5,"1","1","1",0,1,"G13",NA,"4",4,4,"12.000 forint",3,"3",NA,1
"68",11,11,10.5,13,32.5,11.08,89.08,78.58,45.5,"Nő","0","0","1",35,"1","1","1",0,1,"G13",3,"5",6,3,"15.000 forint",220,"5","Még egyik korábbi felvett tárgyam esetén nem függött ennyire az érdemjegy azon, hogy melyik tanárhoz járunk szemináriumra.",0
"69",1.5,5.5,7,8,20.5,11,53.5,52,22,"Nő","0","0","1",20.5,"1","0","0",0,1,"G13",5,"5",7,5,"15.000 forint",120,"5",NA,1
"70",16,11,16,15.5,34,12,104.5,93.5,58.5,"Férfi","0","0","1",47.5,"1","1","0",0,1,"G13",4,"5",6,4,"11.000 forint",3,"5",NA,1
"71",7,3,13.5,5,16,9.58,54.08,51.08,28.5,"Férfi","1","0","0",25.5,"0","1","1",0,0,"G14",4,"4",7,6,"20.000 forint",60,"3",NA,0
"72",16,13,16,10,32.5,12,99.5,89.5,55,"Férfi","1","0","0",45,"0","0","1",0,0,"G14",4,"5",3,7,"11.000 forint",20,"4",NA,0
"73",13.5,11.5,10,15,37,11.75,98.75,88.75,50,"Nő","1","0","0",40,"0","1","0",0,0,"G14",3,"5",6,6,"12.000 forint",150,"5",NA,0
"74",10.5,8,13.5,15,29.5,12,88.5,80.5,47,"Nő","1","0","0",39,"0","1","1",0,0,"G14",4,"5",7,6,"12.000 forint",2,"5","Érezhetően eltérőek voltak az egyes szemináriumi dolgozatok kérdései, voltak olyan feladataok, amiket órán és előadáson is átbeszéltünk, azonban akadtak olyan feladatok is, amiket nem érintettünk",0
"75",11,11,9.5,13,32.5,10.08,87.08,77.58,44.5,"Nő","1","0","0",35,"0","1","1",0,0,"G14",2,"4",6,6,"12.000 forint",60,"4",NA,1
"76",9.5,5,10,9.5,25,10,69,64,34,"Nő","1","0","0",29,"0","1","0",0,0,"G14",3,"5",7,6,"15.000 forint",8,"4",NA,0
"77",11,2,10,10,23.5,10.75,67.25,65.25,33,"Nő","1","0","0",31,"0","1","1",0,0,"G14",5,"5",6,8,"11.000 forint",3,"2",NA,0
"78",11.5,6.5,13,6,26.5,11.75,75.25,69.25,37,"Nő","1","0","0",31,"0","1","0",0,0,"G14",3,"5",6,9,"20.000 forint",60,"4",NA,1
"79",14,3.5,14.5,14,34,9.5,89.5,86,46,"Nő","1","0","0",42.5,"0","1","0",0,0,"G11",5,"5",7,9,"12.000 forint",120,"5",NA,1
"80",10.5,8.5,15.5,8,24.5,10.5,77.5,69.5,42.5,"Nő","1","0","0",34.5,"0","1","1",0,0,"G11",4,"5",6,6,"11.000 forint",60,"4",NA,1
